Ingredient Name,Level,Allergy
INS 296,2,5
INS 307,1,0
INS 551,1,0
Cream Analogue,3,2
Edible Oil,2,5
INS 150d,2,2
Oats,0,0
Ragi Flour,1,3
INS 414,2,0
INS 170,3,2
Popping Corn,0,0
Silicon Dioxide,3,0
Natural Flavor Soy,1,4
Jaggery,0,0
Liquid Glucose,1,0
Peanut,0,1
Crushed Peanut,0,1
INS 220,3,5
Watermelon Seeds,0,0
Almonds,0,0
Cashew,1,0
Soy Lecithin,2,4
Pistachio,1,0
Himalayan Salt,1,0
Sorbitol,0,5
Maltilol,1,5
Carnauba Wax,2,5
INS 951,2,0
Organic Cranberries,1,0
Flax Seeds,0,0
Pumpkin Seeds,1,0
Dried Kiwi,1,0
INS 635,3,5
Erythritol,2,0
Dextrose,3,5
Stevia,2,0
Lactose,2,2
Tamarind,0,0
White Sesame Seeds,1,0
Extra Virgin Olive Oil,0,0
Virgin Olive Oil,1,0
Olive Oil,2,0
INS 955,2,0
Soda Water,1,0
Caffeine,2,5
INS 202,3,5
White Peas,1,0
Pasta,1,0
Parmesan Cheese,1,2
Leeks,2,0
Green Pea,0,0
Peanut Flour,2,1
Wheat Protein,1,3
Soy Protein Isolate,1,4
Whey Protein Concentrate,1,3
Protein Blend,1,0
Fructo Oligosaccharides,1,0
Oat Flour,1,0
Quinoa Flour,1,5
Pulses Blend,0,0
Almond Bits,0,0
Cocoa Powder,2,0
Xanthan Gum,1,5
Natural Acacia Gum,1,0
Tricalcium Phosphate,1,5
Psyllium Husk Powder,0,0
Rosemary Extract,2,5
Yeast,1,0
Fractionated Vegetable Fat,1,0
Jowar Flour,1,3
Gluten,1,3
Calcium Chloride,1,5
Celery Juice Concentrate,0,3
Malted Barley,1,3
Steviol,2,0
Monkfruit Juice Concentrate,0,0
Lactase,1,2
Skimmed Milk,1,2
Retinyl Palmitate,0,0
Organic Cow Milk,1,2
Milk Fat,1,2
Nata De Coco,0,0
Sodium Caseinate,3,0
Coconut Milk,1,2
Coconut Water,1,0
Mannitol,1,0
Gum Base,0,0
Phenylalanine,0,1
Natural Flavor Mint,0,0
Glycerol   ,1,0
Goji Berries,1,0
Raisins,0,1
Tree Nut,1,1
Roasted Pistachios,0,0
Dried Blueberries,0,0
Dried Cranberry,0,0
Melon Seeds,0,0
Butea Gum,0,0
Walnut,1,1
Dates,1,0
Raw Honey,1,5
Raw Banana,0,0
Oregano,0,0
Red Bell Pepper,0,0
Soy Sauce Powder,1,4
Tapioca Flour,1,3
Cassava Starch,1,0
Cassava Blend,1,0
Avocado Oil,1,5
Paprika Powder,0,0
Star Anise Powder,1,0
Semolina,3,5
Mono And Diglycerides,2,5
Diacetyl Tartaric Acid Esters Of Mono And Diglycerides,1,0
Soyabeans,1,4
Artificial Flavor Milk,1,2
Xylanase,1,5
Candied Papaya,0,0
Snf,0,0
Vitamin A,0,0
Vitamin D,0,0
Yogurt,1,2
Pectin,2,5
Dark Chocolate,1,0
Toned Milk,1,2
Active Lactic Cultures,1,2
Bifidobacterium Animalis,0,0
Flour Strengthener,1,3
Whole Wheat Flour,1,3
Ro Purified Water,0,0
Improver,0,0
Homogenized Pasturized Toned Milk,1,2
Gooseberry,0,0
Mustard Powder,1,5
Tempering Seeds,0,0
Oryzanol,1,5
Cream Of Tartar,0,0
Asafoetida,0,5
Yellow Lentil Dal,0,0
Sea Salt,1,5
Fruit Pectin,1,0
Strawberry,0,0
Water ,0,0
Guava Puree,0,0
Iodised Salt,2,0
Carboxy Methyl,1,0
Vitamin D2,0,0
Corn Meal,1,5
Garlic,1,5
INS 330,1,3
Clove,0,0
Black Gram Flour,0,3
Refined Wheat Flour,2,3
Fractionated Fat,2,5
Cocoa Solids,1,0
Soy,1,4
Sulphite,3,5
Ascorbic Acid,2,1
Paprika Extract,1,5
INS 631,2,2
Leavening Agents,1,5
Emulsifier(322),1,5
Barley,0,3
INS 631,2,3
